
EMITENTE                        FORMA_PGTO_ICMS                 
EMITENTE                        RAMO                            
EMITENTE                        STATUS_ACESS                    
EMITENTE                        REV_FANTASIA                    
EMITENTE                        REV_CONTATO                     
EMITENTE                        BLOQUEIO                        
EMITENTE                        DT_BLOQUEIO                     
ENCARTE_ITENS                   VALOR                           
ETIQUETAS                       PRD_PRECO_COLUNA                
ETIQUETAS                       PRD_PRECO_LINHA                 
ETIQUETAS                       PRD_PRECO_VISIVEL               
ETIQUETAS_BOBINA                PRECO1                          
ETIQUETAS_BOBINA                PRECO2                          
FINANCEIRO_MOV                  VALOR                           
FORNECEDOR                      TRANSPORTADORA                  
INVENTARIO_ITENS                VALOR_UNIT                      
INVENTARIO_MENSAL               VALOR_VENDA                     
MDE                             VALOR                           
MDFE                            VALOR_FINAL                     
MDFE                            FRETE_TRANSP_CNPJCPF            
MDFE                            FRETE_TRANSP_UF                 
MDFE                            FRETE_TRANSP_IE                 
MDFE                            FRETE_TRANSP_RZSOCIAL           
MDFE                            FRETE_TRANSP_CIDADE             
MDFE                            FRETE_TRANSP_ENDERECO           
MDFE                            FRETE_VEICULO_PLACA             
MDFE                            FRETE_VEICULO_ANTT              
MDFE                            FRETE_VEICULO_UF                
MDFE                            FRETE_VEICULO_TIPO_RODADO       
MDFE                            FRETE_VEICULO_TIPO_CARROCERIA   
MDFE                            FRETE_VEICULO_RENAVAM           
MDFE                            FRETE_VEICULO_ID_VEICULO        
MDFE                            FRETE_VEICULO_TARA              
MDFE                            FRETE_VEICULO_CAPACIDADE_KG     
MDFE                            FRETE_VEICULO_CAPACIDADE_M3     
MDFE                            FRETE_VEICULO_EMIT_PROTERC      
MDFE                            FRETE_VEICULO_EMIT_TERC_NOME    
MDFE                            FRETE_VEICULO_EMIT_TERC_RNTRC   
MDFE                            FRETE_VEICULO_EMIT_TERC_CPFCNPJ 
MDFE                            FRETE_VEICULO_EMIT_TERC_IE      
MDFE                            FRETE_VEICULO_EMIT_TERC_UF      
MDFE                            FRETE_VEICULO_EMIT_TERC_TPPROPR 
MDFE                            RESP_PAGAMENTO_NOME             
MDFE                            RESP_PAGAMENTO_CPFCNPJ          
MDFE                            RESP_PAGAMENTO_TIPO_DOC         
MDFE                            RESP_PAGAMENTO_VALOR_CONTRATO   
MDFE                            RESP_PAGAMENTO_FRM_PAGTO        
MDFE                            RESP_PAGAMENTO_CNPJ_IPEF        
MDFE                            RESP_PAGAMENTO_COD_BANCO        
MDFE                            RESP_PAGAMENTO_COD_AGENCIA      
MDFE                            TIPO_TRANSPORTE                 
MDFE_COMPONENTE_FRETE           ID                              
MDFE_COMPONENTE_FRETE           ID_MDFE                         
MDFE_COMPONENTE_FRETE           TIPO                            
MDFE_COMPONENTE_FRETE           DESCRICAO                       
MDFE_COMPONENTE_FRETE           VALOR                           
MDFE_MUNICIPIO_DESCARREG        VALOR_FINAL                     
MDFE_PARCELAMENTO_FRETE         ID                              
MDFE_PARCELAMENTO_FRETE         ID_MDFE                         
MDFE_PARCELAMENTO_FRETE         PARCELA                         
MDFE_PARCELAMENTO_FRETE         VENCIMENTO                      
MDFE_PARCELAMENTO_FRETE         VALOR                           
MDFE_VALE_PEDAGIO               VALOR                           
MOVIMENTO                       TOTAL_PAGAMENTOS                
MOVIMENTO                       FAT_PRAZO                       
MOVIMENTO                       TAXA_FAT_PRAZO                  
NFCE                            VALOR_VENDA                     
NFCE                            VALOR_FINAL                     
NFCE                            VALOR_RECEBIDO                  
NFCE                            VALOR_CANCELADO                 
NFCE                            FCP_VALOR                       
NFCE                            FCP_VALORST                     
NFCE                            FCP_VALORRET                    
NFCE                            VALOR_TROCA                     
NFCE                            VALOR_CREDITO                   
NFCE_CONFIGURACAO               VALOR_OBRIGA_CPF_CNPJ           
NFCE_FORMAS_PAGAMENTO           ID                              
NFCE_FORMAS_PAGAMENTO           CODIGO                          
NFCE_FORMAS_PAGAMENTO           DESCRICAO                       
NFCE_FORMAS_PAGAMENTO           TEF                             
NFCE_FORMAS_PAGAMENTO           IMPRIME_VINCULADO               
NFCE_FORMAS_PAGAMENTO           PERMITE_TROCO                   
NFCE_FORMAS_PAGAMENTO           TEF_TIPO_GP                     
NFCE_FORMAS_PAGAMENTO           GERA_PARCELAS                   
NFCE_FORMAS_PAGAMENTO           TIPO_PAGAMENTO                  
NFCE_FORMAS_PAGAMENTO           VISIVEL                         
NFCE_ITENS                      VALOR_UNITARIO                  
NFCE_ITENS                      VALOR_CUSTO                     
NFCE_ITENS                      VALOR_TOTAL                     
NFCE_ITENS                      FCP_VALOR                       
NFCE_ITENS                      FCP_VALOR_ST                    
NFCE_ITENS                      FCP_VALOR_STRET                 
NFCE_ITENS                      ICMS_VALOR_STRT                 
NFCE_SANGRIA                    VALOR                           
NFCE_SUPRIMENTO                 VALOR                           
NFCE_TOTAL_TIPO_PGTO            ID_TIPO_PAGAMENTO               
NFCE_TOTAL_TIPO_PGTO            VALOR                           
NFE                             ID_TRANSPORTADORA               
NFE                             VALOR_VENDA                     
NFE                             VALOR_FRETE                     
NFE                             VALOR_SEGURO                    
NFE                             VALOR_DESP_ACESS                
NFE                             VALOR_RECEBIDO                  
NFE                             VALOR_CANCELADO                 
NFE                             VALOR_FINAL                     
NFE                             VALOR_BASE_ICMS                 
NFE                             VALOR_BASE_ICMS_SIMPLES         
NFE                             VALOR_ICMS                      
NFE                             VALOR_BASE_ICMS_ST              
NFE                             VALOR_ICMS_ST                   
NFE                             VALOR_IPI                       
NFE                             VALOR_IPI_DEVOL                 
NFE                             VALOR_PIS                       
NFE                             VALOR_COFINS                    
NFE                             VALOR_APROX_FEDERAL             
NFE                             VALOR_APROX_ESTADUAL            
NFE                             TIPO_FRETE                      
NFE                             FRETE_PSLIQUIDO                 
NFE                             FRETE_PSBRUTO                   
NFE                             FRETE_VOLUMES                   
NFE                             FRETE_ESPECIE                   
NFE                             FRETE_MARCA                     
NFE                             FRETE_TRANSP_CNPJCPF            
NFE                             FRETE_TRANSP_UF                 
NFE                             FRETE_TRANSP_IE                 
NFE                             FRETE_TRANSP_RZSOCIAL           
NFE                             FRETE_TRANSP_CIDADE             
NFE                             FRETE_TRANSP_ENDERECO           
NFE                             FRETE_VEICULO_PLACA             
NFE                             FRETE_VEICULO_ANTT              
NFE                             FRETE_VEICULO_UF                
NFE                             FRETE_REBOQUE_PLACA             
NFE                             FRETE_REBOQUE_ANTT              
NFE                             FRETE_REBOQUE_UF                
NFE                             FCP_VALOR                       
NFE                             FCP_VALORST                     
NFE                             FCP_VALORRET                    
NFE                             DIFAL_VALORFCPUFDEST            
NFE                             DIFAL_VALORPARTILHADEST         
NFE                             DIFAL_VALORPARTILHAREMET        
NFE_FORMAS_PAGAMENTO            ID                              
