
  ID_PRODUTO PRODUTO                                                                                                                  BARRAS                                       ESTOQUE           VALOR_VENDA STATUS                         
        3690 ADAPTADOR PARA CAIXA D'AGUA 32X1* BRANCO TIGRE                                                                           7700010036909                                 3.0000             15.000000 ATIVO                          
        3691 ADAPTADOR PARA CAIXA D'AGUA 32X1*PLASTUBOS                                                                               7700010036916                                 5.0000             20.000000 ATIVO                          
        3687 ADAPTADOR PARA CAIXA D'AGUA 32X1*TIGRE                                                                                   7897613321720                                 5.0000             15.000000 ATIVO                          
        3692 ADAPTADOR PARA CAIXA D'AGUA 40X1.1/4* PLASTILIT                                                                          7700010036923                                 4.0000             32.000000 ATIVO                          
        3679 ADAPTADOR PARA CAIXA D'AGUA 40X1.1/4* VIQUA                                                                              7898010800078                                 8.0000             31.500000 ATIVO                          
         151 ADAPTADOR PARA CAIXA D'AGUA 50X1.1/2 FORTLEV*                                                                            7898543590521                                 2.0000             26.000000 ATIVO                          
        3684 ADAPTADOR PARA CAIXA D'AGUA 50X1.1/2* VIQUA                                                                              7898010800085                                 5.0000             28.000000 ATIVO                          
        1373 ADAPTADOR PARA CAIXA D'AGUA 60 MM X 2"*                                                                                  7898543590538                                 7.0000             28.000000 ATIVO                          
        4042 ADAPTADOR SOLD CURTO 32.1 IRRIGAÇÃO                                                                                      7898010801945                                 4.0000              6.000000 ATIVO                          
        4079 ADAPTADOR SOLD. CURTO 22X1 - VIQUA                                                                                       <null>                                        6.0000              5.000000 ATIVO                          
        3786 ADAPTADOR SOLD. CURTO 25X3/4 - VIQUA                                                                                     7898010801938                                10.0000              4.000000 ATIVO                          
        3586 ADAPTADOR SOLDAVEL CURTO 20MM1/2 "* CORR PLASTI                                                                          7700010035865                                 5.0000              2.500000 ATIVO                          
        3584 ADAPTADOR SOLDAVEL CURTO 20MM1/2 "* FORTLEV                                                                              7700010035841                                18.0000              2.500000 ATIVO                          
        3589 ADAPTADOR SOLDAVEL CURTO 20MM1/2 "* KRONA                                                                                7700010035896                                16.0000              2.500000 ATIVO                          
        3587 ADAPTADOR SOLDAVEL CURTO 20MM1/2 "* PLASTILIT                                                                            7700010035872                                63.0000              2.500000 ATIVO                          
        3579 ADAPTADOR SOLDAVEL CURTO 25MM - 3/4"* AMANCO                                                                             7891960120029                                 1.0000              3.000000 ATIVO                          
        3583 ADAPTADOR SOLDAVEL CURTO 25MM 3/4"* FORTLEV                                                                              7700010035834                                51.0000              3.000000 ATIVO                          
        3581 ADAPTADOR SOLDAVEL CURTO 25MM 3/4"* KRONA                                                                                7700010035810                                 4.0000              1.500000 ATIVO                          
        3582 ADAPTADOR SOLDAVEL CURTO 25MM 3/4"* PLASTILIT                                                                            7700010035827                               108.0000              3.000000 ATIVO                          
        4078 ADAPTADOR SOLDAVEL CURTO 32 -1* AMANCO                                                                                   <null>                                        2.0000             12.000000 ATIVO                          
         980 ADAPTADOR SOLDAVEL CURTO 32MMX1"* FORTLEV                                                                                7700010009804                                11.0000              4.000000 ATIVO                          
        3747 ADAPTADOR SOLDAVEL CURTO 40MM 1.1/4 "* PLASTILIT                                                                         7700010037470                                10.0000              6.000000 ATIVO                          
        3746 ADAPTADOR SOLDAVEL CURTO 50MM 11/2 "* PLASTILIT                                                                          7700010037463                                21.0000              5.000000 ATIVO                          
